구분,지역,HUB_NICKNAME,제어기_장치수,총가동시간_시간_4월,장비당_일평균가동시간_시간_4월,총가동시간_시간_5월,장비당_일평균가동시간_시간_5월,총가동시간_증감,장비당_일평균가동시간_증감
본사,서울6층,본사_서울6층_사무실,4,245.42,2.79,437.67,6.08,192.25,3.29
본사,서울7층,본사_서울7층_회의실,4,150.58,1.71,316.75,4.66,166.17,2.95
본사,서울3층,본사_서울3층_회의실,1,29.58,1.34,68.92,3.83,39.34,2.49
본사,서울_2층,본사_서울_2층,2,56.83,1.29,114.67,3.19,57.84,1.9
본사,서울7층,본사_서울7층_본부장실,2,11.33,0.26,56.67,1.57,45.34,1.31
본사,서울6층,본사_서울6층_이사장실,2,22.92,0.52,41.67,1.16,18.75,0.64
본사,서울별관,본사_서울별관,1,0,0,0.08,0,0.08,0
본사,서울_1층,본사_서울_1층,2,106.83,2.43,26.42,0.73,-80.41,-1.7
